STUDENT CODE,PAPER,CUES USED,DOI,MODALITY,,,REPRESENTATION,,,,DIMENSIONALITY,REFERENCE FRAME,,,TRIGGER,CONVEYED INFO,,,,,PURPOSE,,PHASES,MARKEDNESS,DOMAIN,STRONGEST RESPONSE,MEASURES,TAKEAWAYS,# OF SUBJECTS,EXTRA,,
,,Large Cross + Normal,,Visual,,,Symbolic,,,,3,Exocentric,,,Persistent,,Position,,,,Operate,,Single,Integrated,Welding in specific positions,The circle with bullseye (i) was finalized due to its minimalistic approach and significant improvements in precision and accuracy.,"Accuracy, Completion Time, Error Rate & Precision","Distracting and overcrowded designs (e.g., large cross + normal) were not suitable for production.",8,,,
,,White Arrows + Inner Circle,,Visual,,,Symbolic,,,,3,Exocentric,,,Persistent,Direction,Position,,,,Operate,,Single,Integrated,Welding in specific positions,The circle with bullseye (i) was finalized due to its minimalistic approach and significant improvements in precision and accuracy.,"Accuracy, Completion Time, Error Rate & Precision","Complex designs (e.g., crosses, arrows, textured cues) were found to be less effective.",8,,,
,,White Arrows + Bullseye,,Visual,,,Symbolic,,,,3,Exocentric,,,Persistent,Direction,Position,,,,Operate,,Single,Integrated,Welding in specific positions,The circle with bullseye (i) was finalized due to its minimalistic approach and significant improvements in precision and accuracy.,"Accuracy, Completion Time, Error Rate & Precision",The circle with bullseye (i) was finalized due to its minimalistic approach and significant improvements in precision and accuracy.,8,,,
,,Circle + Bullseye,,Visual,,,Symbolic,,,,3,Exocentric,,,Persistent,,Position,,,,Operate,,Single,Integrated,Welding in specific positions,The circle with bullseye (i) was finalized due to its minimalistic approach and significant improvements in precision and accuracy.,"Accuracy, Completion Time, Error Rate & Precision",The circle with bullseye (i) was finalized due to its minimalistic approach and significant improvements in precision and accuracy.,8,,,
15 - Jalynn,Integrating the Physical Environment into Mobile Remote Collaboration,Static Markers,https://doi.org/10.1145/2371574.2371610,Visual,,,Symbolic,,,,2,Exocentric,,,Persistent,,Position,,,,Operate,,Single,Overlaid,Collaborative physical task in a simulated cockpit environment,World-stabilized markers with highest average task completion time and higher confidence and preference reported,"Task Completion Time, Error Rate, & Subjective Measure","Performed better than no markers, suffered from issues when camera moved, required more verbal communication",48,,,
,,World-Stablized Markers,,Visual,,,Symbolic,,,,2,Exocentric,,,Persistent,,Position,,,,Operate,,Single,Overlaid,Collaborative physical task in a simulated cockpit environment,World-stabilized markers with highest average task completion time and higher confidence and preference reported,"Task Completion Time, Error Rate, & Subjective Measure","Reduced reliance on verbal communication, allowing remote users to accurately place markers, and enhanced collaboration efficiency",48,,,
,,Off-Screen Indicator,,Visual,,,Symbolic,,,,2,Exocentric,,,Persistent,Direction,,,,,Operate,,Single,Overlaid,Collaborative physical task in a simulated cockpit environment,World-stabilized markers with highest average task completion time and higher confidence and preference reported,"Task Completion Time, Error Rate, & Subjective Measure","Helped locate targets, but were less effective in conveying precise location or context",48,,,
16 - Jalynn,Augmented Reality in the Psychomotor Phase of a Procedural Task,3D Arrow,https://doi.org/10.1109/ISMAR.2011.6092386,Visual,,,Symbolic,,,,3,Exocentric,,,Context,Direction,,Proximity,,,Manipulate,,Multiple,Integrated,Psychomotor Task,""" A user study shows participants were able to complete psychomotor aspects of the assembly task significantly faster and with significantly greater accuracy than when using 3D-graphics–based assistance presented on a stationary LCD.""","Accuracy, Completion Time, & Preference","""Our prototype tracks the user and multiple components in a typical maintenance assembly task, and provides dynamic, prescriptive, overlaid instructions on a see-through head-worn display in response to the user’s ongoing activity""",6/22,,,
,,3D Highlights: Line for pins,,Visual,,,Symbolic,,,,3,Exocentric,,,Context,,Position,Proximity,,,Manipulate,,Single,Integrated,Psychomotor Task,3D Arrow had the strongest measured impact on performance and error reduction. It led to faster task completion and fewer errors compared to the baseline and other cue types.,"Accuracy, Completion Time, & Preference","""Our prototype tracks the user and multiple components in a typical maintenance assembly task, and provides dynamic, prescriptive, overlaid instructions on a see-through head-worn display in response to the user’s ongoing activity""",6/22,,,
,,Billboarded Labels: J/Q,,Visual,,,Alphanumeric,,,,3,Exocentric,,,Persistent,,Position,,,Other,Manipulate,,Single,Integrated,Psychomotor Task,3D Arrow had the strongest measured impact on performance and error reduction. It led to faster task completion and fewer errors compared to the baseline and other cue types.,"Accuracy, Completion Time, & Preference","""Our prototype tracks the user and multiple components in a typical maintenance assembly task, and provides dynamic, prescriptive, overlaid instructions on a see-through head-worn display in response to the user’s ongoing activity""",6/22,,,
17 - Jalynn,Evaluating Visual Cues for Window Switching on Large Screens,,https://doi.org/10.1145/1357054.1357199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18 - Jalynn,Analysing the effects of a wide field of view augmented reality display on search performance in divided attention tasks,In-View Labeling,https://doi.org/10.1109/ISMAR.2014.6948425,Visual,,,Symbolic,,,,2,Exocentric,,,Persistent,Direction,Position,,,,Discover,,Single,Overlaid,Augmented Reality Search,"""In-View Labelling resulted in significantly higher discovery rates across all field-of-view (FOV) conditions.""","Discovery Rate, Response Time, Head Rotation, Mental Workload, & Sudoku Completion Time","""Higher target discovery rate. Performance decreased slightly as FOV increased. More effective in conditions with smaller FOVs. Participants relied on the leader lines for quick identification. Increased head rotation due to following leader lines.""",16,,,
,,In-Situ Labeling,,Visual,,,Symbolic,,,,2,Exocentric,Headcentric - Egocentric,,Persistent,,Position,,,,Discover,,Single,Overlaid,Augmented Reality Search,"""In-Situ Labelling performed better at larger FOVs but still never surpassed in-view labelling for detection performance.""","Discovery Rate, Response Time, Head Rotation, Mental Workload, & Sudoku Completion Time","""Lower discovery rate, especially in smaller FOVs. Performed better at larger FOVs but never surpassed in-view labelling. Required more head movement to locate targets. Participants focused more on their primary task (Sudoku). Users noted it was harder to detect targets.",16,,,
19 - Jalynn,Handheld Guides in Inspection Tasks: Augmented Reality vs. Picture,,https://doi.org/10.1109/TVCG.2017.2709746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20 - Jalynn,Comparative Effectiveness of Augmented Reality in Object Assembly,Spatially Registered AR,https://doi.org/10.1145/642611.642626,Visual,,,Characterized,,,,3,Exocentric,,,Persistent,Direction,Position,Proximity,,,Operate,,Single,Integrated,Industrial Assembly & Manufacturing,"""Spatially Registered AR (Treatment 4) had the best performance. It significantly reduced errors by 82%, particularly decreasing dependent errors (errors caused by prior mistakes). Participants using AR had the lowest perceived mental workload, according to NASA TLX ratings. Accuracy was significantly higher in AR compared to all other treatments.","Completion Time, Error Rate, & Mental Workload","""Best accuracy and lowest errors. Significantly lower mental workload (NASA TLX: 10.0/20). Reduced head/eye movement and attention switching. Errors were mostly independent, meaning AR prevented cascading mistakes. Faster and more efficient task completion.""",75,,,
,,CAI on See-through HMD,,Visual,,,Characterized,,,,2,Headcentric - Egocentric,,,Persistent,Direction,Position,,,,Operate,,Single,Overlaid,Industrial Assembly & Manufacturing,"""Spatially Registered AR (Treatment 4) had the best performance. It significantly reduced errors by 82%, particularly decreasing dependent errors (errors caused by prior mistakes). Participants using AR had the lowest perceived mental workload, according to NASA TLX ratings. Accuracy was significantly higher in AR compared to all other treatments.","Completion Time, Error Rate, & Mental Workload","""No improvement over LCD monitor. Visual interference from AR overlays made workspace harder to see. Did not significantly reduce errors. Users struggled with focusing between overlay and real parts.",75,,,
21 - Jalynn,Drone-based Augmented Reality Platform for Bridge Inspection: Effect of AR Cue Design on Visual Search Tasks,Bounding Box,https://doi.org/10.1109/VRW50115.2020.00043,Visual,,,Symbolic,,,,3,Exocentric,,,Persistent,,Position,,,,Select,,Single,Emphasized,Bridge Inspection,"""The Bounding Box cue elicited the strongest response in terms of improving target detection. Justification for Strongest Response: Significant Improvement Over Control: The bounding box significantly increased hit rates compared to the no-augmentation condition. Better Detection Performance: Participants detected more targets when the bounding box was present. No Significant Drawbacks: Unlike the outline cue, which did not show a significant advantage, the bounding box consistently improved performance.""","Hits, Misses, & False Alarms",Provided a significant improvement over the control condition for target detection.,28,,,
,,Corner-Bound Box,,Visual,,,Symbolic,,,,3,Exocentric,,,Persistent,,Position,,,,Select,,Single,Emphasized,Bridge Inspection,"""The Bounding Box cue elicited the strongest response in terms of improving target detection. Justification for Strongest Response: Significant Improvement Over Control: The bounding box significantly increased hit rates compared to the no-augmentation condition. Better Detection Performance: Participants detected more targets when the bounding box was present. No Significant Drawbacks: Unlike the outline cue, which did not show a significant advantage, the bounding box consistently improved performance.""","Hits, Misses, & False Alarms","Useful for drawing attention without excessive clutter, especially in complex visual scenes.",28,,,
,,Outline,,Visual,,,Emphatic,,,,3,Exocentric,,,Persistent,,Position,,,,Select,,Single,Emphasized,Bridge Inspection,"""The Bounding Box cue elicited the strongest response in terms of improving target detection. Justification for Strongest Response: Significant Improvement Over Control: The bounding box significantly increased hit rates compared to the no-augmentation condition. Better Detection Performance: Participants detected more targets when the bounding box was present. No Significant Drawbacks: Unlike the outline cue, which did not show a significant advantage, the bounding box consistently improved performance.""","Hits, Misses, & False Alarms","May be useful when precise shape information is required, but does not significantly improve detection rates over bounding or corner-bound cues.",28,,,
